"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"C1,C2,C3,C5,C7";"Capacitors_SMD:c_0603";5;"0.1uF";;;
2;"C8";"Capacitors_SMD:c_0603";1;"0.01uF";;;
3;"IC1";"Housings_SOIC:SOIC-8_N";1;"DS1307";;;
4;"JP1";"Pin_Headers:Pin_Header_Straight_1x06";1;"6_PIN_1";;;
5;"JP2";"Pin_Headers:Pin_Header_Straight_1x06";1;"6_PIN_2";;;
6;"JP3";"Pin_Headers:Pin_Header_Straight_1x08";1;"8_PIN_1";;;
7;"JP4";"Pin_Headers:Pin_Header_Straight_1x08";1;"8_PIN_2";;;
8;"JP6";"Pin_Headers:Pin_Header_Straight_1x02";1;"SPKR";;;
9;"R1,R2";"Resistors_SMD:R_0603";2;"R";;;
10;"R3";"Resistors_SMD:R_0603";1;"100K";;;
11;"R4";"Resistors_SMD:R_0603";1;"1.5K";;;
12;"R5";"Resistors_SMD:R_0603";1;"10K";;;
13;"U2";"SMD_Packages:SOIC-8-N";1;"MCP4921-E/SN";;;
14;"U3";"SMD_Packages:SOIC-14_W";1;"74LS125";;;
15;"U4";"SMD_Packages:SOIC-14_N";1;"TL072";;;
16;"BT1";"tapmatrix:CR2032";1;"BATTERY";;;
17;"P6";"tapmatrix:5103310­-3";1;"LED_MATRIX_HDR";;;
18;"P5";"tapmatrix:SFW4R­5STE1LF";1;"TS_ZIF";;;
19;"U5";"tapmatrix:114-00841-68";1;"SD_CARD";;;
20;"C4,C6,C9";"Capacitors_Tantalum_SMD:TantalC_SizeC_EIA-6032_Reflow";3;"100uF/6V";;;
21;"JP5";"Pin_Headers:Pin_Header_Straight_1x04";1;"4_PIN_1";;;
22;"U1";"SMD_Packages:SOT-23";1;"MCP1700T-3302E/MB";;;
